# id x y z
8812
69 -0.534347 1 1
70 -1.60304 1 1
71 -2.67174 1 1
72 -3.74043 1 1
73 -4.80912 1 1
74 5.87782 1 -0.818182
75 5.87782 1 -0.636364
76 5.87782 1 -0.454545
77 5.87782 1 -0.272727
78 5.87782 1 -0.090909
79 5.87782 1 0.090909
80 5.87782 1 0.272727
81 5.87782 1 0.454545
82 5.87782 1 0.636364
83 5.87782 1 0.818182
84 -4.67554 -1 1
85 -3.60684 -1 1
86 -2.53815 -1 1
87 -1.46945 -1 1
88 -0.40076 -1 1
89 0.667934 -1 1
90 1.73663 -1 1
91 2.80532 -1 1
92 3.87402 -1 1
93 4.80912 -1 1
94 -5.87782 1 0.818182
95 -5.87782 1 0.636364
96 -5.87782 1 0.454545
97 -5.87782 1 0.272727
98 -5.87782 1 0.090909
99 -5.87782 1 -0.090909
100 -5.87782 1 -0.272727
101 -5.87782 1 -0.454545
102 -5.87782 1 -0.636364
103 -5.87782 1 -0.772728
104 -4.80912 1 -1
105 -3.74043 1 -1
106 -2.67174 1 -1
107 -1.60304 1 -1
108 -0.534347 1 -1
109 0.534347 1 -1
110 1.60304 1 -1
111 2.67174 1 -1
112 3.74043 1 -1
113 4.80912 1 -1
114 5.87782 -1 0.818182
115 5.87782 -1 0.636364
116 5.87782 -1 0.454545
117 5.87782 -1 0.272727
118 5.87782 -1 0.090909
119 5.87782 -1 -0.090909
120 5.87782 -1 -0.272727
121 5.87782 -1 -0.454545
122 5.87782 -1 -0.636364
123 4.61346 1 0.839054
124 3.52376 1 0.671646
125 2.45457 1 0.484662
126 1.38588 1 0.302844
127 0.317185 1 0.121026
128 -0.751509 1 -0.0607918
129 -1.8202 1 -0.24261
130 -2.8889 1 -0.424428
131 -3.95852 1 -0.60467
132 -5.03876 1 -0.878749
133 -4.80861 -0.819763 1
134 -3.74036 -0.637235 1
135 -2.67166 -0.455417 1
136 -1.60297 -0.273599 1
137 -0.534272 -0.0917806 1
138 0.534422 0.0900374 1
139 1.60312 0.271855 1
140 2.67181 0.453674 1
141 3.74051 0.635536 1
142 4.80908 0.812246 1
143 -5.87782 -0.818182 -0.818182
144 -5.87782 -0.636364 -0.636364
145 -5.87782 -0.454545 -0.454545
146 -5.87782 -0.272727 -0.272727
147 -5.87782 -0.090909 -0.090909
148 -5.87782 0.090909 0.090909
149 -5.87782 0.272727 0.272727
150 -5.87782 0.454545 0.454545
151 -5.87782 0.636364 0.636364
152 -5.87782 0.818182 0.818182
153 -4.61682 -1 0.877106
154 -3.52327 -1 0.666474
155 -2.45457 -1 0.484662
156 -1.38588 -1 0.302844
157 -0.317185 -1 0.121026
158 0.751509 -1 -0.0607918
159 1.8202 -1 -0.24261
160 2.8889 -1 -0.424428
161 3.95852 -1 -0.60467
162 5.03876 -1 -0.878749
163 5.87782 -0.818182 0.818182
164 5.87782 -0.636364 0.636364
165 5.87782 -0.454545 0.454545
166 5.87782 -0.272727 0.272727
167 5.87782 -0.090909 0.090909
168 5.87782 0.090909 -0.090909
169 5.87782 0.272727 -0.272727
170 5.87782 0.454545 -0.454545
171 5.87782 0.636364 -0.636364
172 5.87782 0.818182 -0.818182
173 4.80905 -0.819217 -1
174 3.74036 -0.637236 -1
175 2.67166 -0.455417 -1
176 1.60297 -0.273599 -1
177 0.534272 -0.0917806 -1
178 -0.534422 0.0900374 -1
179 -1.60312 0.271855 -1
180 -2.67181 0.453674 -1
181 -3.74051 0.635536 -1
182 -4.80926 0.818997 -1
183 4.8092 -0.631014 -1
184 3.74051 -0.449196 -1
185 4.8092 -0.454474 -1
186 2.67181 -0.267377 -1
187 3.74051 -0.272656 -1
188 4.80912 -0.271868 -1
189 1.60312 -0.0855595 -1
190 2.67181 -0.0908378 -1
191 3.74043 -0.0900501 -1
192 4.80912 -0.0900501 -1
193 0.534422 0.0962585 -1
194 1.60312 0.0909802 -1
195 2.67174 0.0917679 -1
196 3.74043 0.0917679 -1
197 4.80912 0.0917679 -1
198 -0.534272 0.278077 -1
199 0.534422 0.272798 -1
200 1.60304 0.273586 -1
201 2.67174 0.273586 -1
202 3.74043 0.273586 -1
203 4.80912 0.273586 -1
204 -1.60297 0.459895 -1
205 -0.534272 0.454616 -1
206 0.534347 0.455404 -1
207 1.60304 0.455404 -1
208 2.67174 0.455404 -1
209 3.74043 0.455404 -1
210 4.80912 0.455404 -1
211 -2.67166 0.641714 -1
212 -1.60297 0.636435 -1
213 -0.534347 0.637223 -1
214 0.534347 0.637223 -1
215 1.60304 0.637223 -1
216 2.67174 0.637223 -1
217 3.74043 0.637223 -1
218 4.80922 0.637361 -1
219 -3.73384 0.865722 -1
220 -2.67166 0.818447 -1
221 -1.60304 0.819235 -1
222 -0.534347 0.819235 -1
223 0.534347 0.819235 -1
224 1.60304 0.819235 -1
225 2.67174 0.819235 -1
226 3.74043 0.819235 -1
227 4.80392 0.820377 -1
228 5.87782 -0.636364 0.818182
229 5.87782 -0.454545 0.636364
230 5.87782 -0.454545 0.818182
231 5.87782 -0.272727 0.454545
232 5.87782 -0.272727 0.636364
233 5.87782 -0.272727 0.818182
234 5.87782 -0.090909 0.272727
235 5.87782 -0.090909 0.454545
236 5.87782 -0.090909 0.636364
237 5.87782 -0.090909 0.818182
238 5.87782 0.090909 0.090909
239 5.87782 0.090909 0.272727
240 5.87782 0.090909 0.454545
241 5.87782 0.090909 0.636364
242 5.87782 0.090909 0.818182
243 5.87782 0.272727 -0.090909
244 5.87782 0.272727 0.090909
245 5.87782 0.272727 0.272727
246 5.87782 0.272727 0.454545
247 5.87782 0.272727 0.636364
248 5.87782 0.272727 0.818182
249 5.87782 0.454545 -0.272727
250 5.87782 0.454545 -0.090909
251 5.87782 0.454545 0.090909
252 5.87782 0.454545 0.272727
253 5.87782 0.454545 0.454545
254 5.87782 0.454545 0.636364
255 5.87782 0.454545 0.818182
256 5.87782 0.636364 -0.454545
257 5.87782 0.636364 -0.272727
258 5.87782 0.636364 -0.090909
259 5.87782 0.636364 0.090909
260 5.87782 0.636364 0.272727
261 5.87782 0.636364 0.454545
262 5.87782 0.636364 0.636364
263 5.87782 0.636364 0.818182
264 5.87782 0.818182 -0.636364
265 5.87782 0.818182 -0.454545
266 5.87782 0.818182 -0.272727
267 5.87782 0.818182 -0.090909
268 5.87782 0.818182 0.090909
269 5.87782 0.818182 0.272727
270 5.87782 0.818182 0.454545
271 5.87782 0.818182 0.636364
272 5.87782 0.819743 0.818219
273 -3.47772 -1 0.792624
274 -2.4091 -1 0.611445
275 -1.3404 -1 0.429628
276 -0.271709 -1 0.24781
277 0.796985 -1 0.0659916
278 1.86568 -1 -0.115826
279 2.93437 -1 -0.297644
280 4.0034 -1 -0.47872
281 5.06077 -1 0.638511
282 5.05029 -1 0.806949
283 -5.87782 -0.636364 -0.818182
284 -5.87782 -0.454545 -0.636364
285 -5.87782 -0.454545 -0.818182
286 -5.87782 -0.272727 -0.454545
287 -5.87782 -0.272727 -0.636364
288 -5.87782 -0.272727 -0.818182
289 -5.87782 -0.090909 -0.272727
290 -5.87782 -0.090909 -0.454545
291 -5.87782 -0.090909 -0.636364
292 -5.87782 -0.090909 -0.818182
293 -5.87782 0.090909 -0.090909
294 -5.87782 0.090909 -0.272727
295 -5.87782 0.090909 -0.454545
296 -5.87782 0.090909 -0.636364
297 -5.87782 0.090909 -0.818182
298 -5.87782 0.272727 0.090909
299 -5.87782 0.272727 -0.090909
300 -5.87782 0.272727 -0.272727
301 -5.87782 0.272727 -0.454545
302 -5.87782 0.272727 -0.636364
303 -5.87782 0.272727 -0.818182
304 -5.87782 0.454545 0.272727
305 -5.87782 0.454545 0.090909
306 -5.87782 0.454545 -0.090909
307 -5.87782 0.454545 -0.272727
308 -5.87782 0.454545 -0.454545
309 -5.87782 0.454545 -0.636364
310 -5.87782 0.454545 -0.818182
311 -5.87782 0.636364 0.454545
312 -5.87782 0.636364 0.272727
313 -5.87782 0.636364 0.090909
314 -5.87782 0.636364 -0.090909
315 -5.87782 0.636364 -0.272727
316 -5.87782 0.636364 -0.454545
317 -5.87782 0.636364 -0.636364
318 -5.87782 0.636364 -0.818182
319 -5.87782 0.818182 0.636364
320 -5.87782 0.818182 0.454545
321 -5.87782 0.818182 0.272727
322 -5.87782 0.818182 0.090909
323 -5.87782 0.818182 -0.090909
324 -5.87782 0.818182 -0.272727
325 -5.87782 0.818182 -0.454545
326 -5.87782 0.818182 -0.636364
327 -5.87782 0.819782 -0.818345
328 -4.8092 -0.631014 1
329 -3.74051 -0.449196 1
330 -4.8092 -0.454474 1
331 -2.67181 -0.267377 1
332 -3.74051 -0.272656 1
333 -4.80912 -0.271868 1
334 -1.60312 -0.0855595 1
335 -2.67181 -0.0908378 1
336 -3.74043 -0.0900501 1
337 -4.80912 -0.0900501 1
338 -0.534422 0.0962585 1
339 -1.60312 0.0909802 1
340 -2.67174 0.0917679 1
341 -3.74043 0.0917679 1
342 -4.80912 0.0917679 1
343 0.534272 0.278077 1
344 -0.534422 0.272798 1
345 -1.60304 0.273586 1
346 -2.67174 0.273586 1
347 -3.74043 0.273586 1
348 -4.80912 0.273586 1
349 1.60297 0.459895 1
350 0.534272 0.454616 1
351 -0.534347 0.455404 1
352 -1.60304 0.455404 1
353 -2.67174 0.455404 1
354 -3.74043 0.455404 1
355 -4.80912 0.455404 1
356 2.67166 0.641714 1
357 1.60297 0.636435 1
358 0.534347 0.637223 1
359 -0.534347 0.637223 1
360 -1.60304 0.637223 1
361 -2.67174 0.637223 1
362 -3.74043 0.637223 1
363 -4.80922 0.637361 1
364 3.73384 0.865722 1
365 2.67166 0.818447 1
366 1.60304 0.819235 1
367 0.534347 0.819235 1
368 -0.534347 0.819235 1
369 -1.60304 0.819235 1
370 -2.67174 0.819235 1
371 -3.74043 0.819235 1
372 -4.80392 0.820377 1
373 3.48615 1 0.809965
374 2.41147 1 0.607229
375 2.41702 1 0.823432
376 1.3404 1 0.429628
377 1.34829 1 0.823443
378 0.271709 1 0.24781
379 0.280106 1 0.822999
380 -0.796985 1 0.0659916
381 -0.789098 1 0.823443
382 -1.86568 1 -0.115826
383 -1.85728 1 0.822999
384 -2.93437 1 -0.297644
385 -2.92649 1 0.823443
386 -4.0034 1 -0.47872
387 -3.99467 1 0.822999
388 -5.06051 1 0.638219
389 -4.80962 -0.814618 -1
390 -4.80912 -0.635382 -1
391 -3.74043 -0.817434 -1
392 -4.80912 -0.453564 -1
393 -3.74043 -0.635383 -1
394 -2.67174 -0.817434 -1
395 -4.80912 -0.271746 -1
396 -3.74043 -0.453564 -1
397 -2.67174 -0.635383 -1
398 -1.60304 -0.817434 -1
399 -4.80912 -0.0899282 -1
400 -3.74043 -0.271746 -1
401 -2.67174 -0.453564 -1
402 -1.60304 -0.635383 -1
403 -0.534347 -0.817434 -1
404 -4.80912 0.0918898 -1
405 -3.74043 -0.0899282 -1
406 -2.67174 -0.271746 -1
407 -1.60304 -0.453564 -1
408 -0.534347 -0.635383 -1
409 0.534347 -0.817434 -1
410 -4.80912 0.273708 -1
411 -3.74043 0.0918898 -1
412 -2.67174 -0.0899282 -1
413 -1.60304 -0.271746 -1
414 -0.534347 -0.453564 -1
415 0.534347 -0.635383 -1
416 1.60304 -0.817434 -1
417 -4.80912 0.455526 -1
418 -3.74043 0.273708 -1
419 -2.67174 0.09189 -1
420 -1.60304 -0.089928 -1
421 -0.534347 -0.271746 -1
422 0.534347 -0.453564 -1
423 1.60304 -0.635383 -1
424 2.67174 -0.817434 -1
425 -4.8092 0.638293 -1
426 -3.74051 0.456474 -1
427 -2.67181 0.274656 -1
428 -1.60312 0.0928378 -1
429 -0.534422 -0.0889802 -1
430 0.534272 -0.270798 -1
431 1.60297 -0.452616 -1
432 2.67166 -0.634435 -1
433 3.74036 -0.816485 -1
434 5.87782 -0.819782 -0.818345
435 5.87782 -0.636364 -0.818182
436 5.87782 -0.818182 -0.636364
437 5.87782 -0.454545 -0.818182
438 5.87782 -0.636364 -0.636364
439 5.87782 -0.818182 -0.454545
440 5.87782 -0.272727 -0.818182
441 5.87782 -0.454545 -0.636364
442 5.87782 -0.636364 -0.454545
443 5.87782 -0.818182 -0.272727
444 5.87782 -0.090909 -0.818182
445 5.87782 -0.272727 -0.636364
446 5.87782 -0.454545 -0.454545
447 5.87782 -0.636364 -0.272727
448 5.87782 -0.818182 -0.090909
449 5.87782 0.090909 -0.818182
450 5.87782 -0.090909 -0.636364
451 5.87782 -0.272727 -0.454545
452 5.87782 -0.454545 -0.272727
453 5.87782 -0.636364 -0.090909
454 5.87782 -0.818182 0.090909
455 5.87782 0.272727 -0.818182
456 5.87782 0.090909 -0.636364
457 5.87782 -0.090909 -0.454545
458 5.87782 -0.272727 -0.272727
459 5.87782 -0.454545 -0.090909
460 5.87782 -0.636364 0.090909
461 5.87782 -0.818182 0.272727
462 5.87782 0.454545 -0.818182
463 5.87782 0.272727 -0.636364
464 5.87782 0.090909 -0.454545
465 5.87782 -0.090909 -0.272727
466 5.87782 -0.272727 -0.090909
467 5.87782 -0.454545 0.090909
468 5.87782 -0.636364 0.272727
469 5.87782 -0.818182 0.454545
470 5.87782 0.636364 -0.818182
471 5.87782 0.454545 -0.636364
472 5.87782 0.272727 -0.454545
473 5.87782 0.090909 -0.272727
474 5.87782 -0.090909 -0.090909
475 5.87782 -0.272727 0.090909
476 5.87782 -0.454545 0.272727
477 5.87782 -0.636364 0.454545
478 5.87782 -0.818182 0.636364
479 -4.56803 -1 -0.809208
480 -3.50823 -1 -0.808111
481 -2.43954 -1 -0.808111
482 -1.37084 -1 -0.808111
483 -0.302149 -1 -0.808111
484 0.766545 -1 -0.808111
485 1.83524 -1 -0.80811
486 2.91343 -1 -0.806968
487 -5.87782 -0.819743 0.818219
488 -5.87782 -0.636364 0.818182
489 -5.87782 -0.818182 0.636364
490 -5.87782 -0.454545 0.818182
491 -5.87782 -0.636364 0.636364
492 -5.87782 -0.818182 0.454545
493 -5.87782 -0.272727 0.818182
494 -5.87782 -0.454545 0.636364
495 -5.87782 -0.636364 0.454545
496 -5.87782 -0.818182 0.272727
497 -5.87782 -0.090909 0.818182
498 -5.87782 -0.272727 0.636364
499 -5.87782 -0.454545 0.454545
500 -5.87782 -0.636364 0.272727
501 -5.87782 -0.818182 0.090909
502 -5.87782 0.090909 0.818182
503 -5.87782 -0.090909 0.636364
504 -5.87782 -0.272727 0.454545
505 -5.87782 -0.454545 0.272727
506 -5.87782 -0.636364 0.090909
507 -5.87782 -0.818182 -0.090909
508 -5.87782 0.272727 0.818182
509 -5.87782 0.090909 0.636364
510 -5.87782 -0.090909 0.454545
511 -5.87782 -0.272727 0.272727
512 -5.87782 -0.454545 0.090909
513 -5.87782 -0.636364 -0.090909
514 -5.87782 -0.818182 -0.272727
515 -5.87782 0.454545 0.818182
516 -5.87782 0.272727 0.636364
517 -5.87782 0.090909 0.454545
518 -5.87782 -0.090909 0.272727
519 -5.87782 -0.272727 0.090909
520 -5.87782 -0.454545 -0.090909
521 -5.87782 -0.636364 -0.272727
522 -5.87782 -0.818182 -0.454545
523 -5.87782 0.636364 0.818182
524 -5.87782 0.454545 0.636364
525 -5.87782 0.272727 0.454545
526 -5.87782 0.090909 0.272727
527 -5.87782 -0.090909 0.090909
528 -5.87782 -0.272727 -0.090909
529 -5.87782 -0.454545 -0.272727
530 -5.87782 -0.636364 -0.454545
531 -5.87782 -0.818182 -0.636364
532 4.80963 -0.814577 1
533 4.80912 -0.635382 1
534 3.74092 -0.819699 1
535 4.80912 -0.453564 1
536 3.74043 -0.635383 1
537 2.67223 -0.819699 1
538 4.80912 -0.271746 1
539 3.74043 -0.453564 1
540 2.67174 -0.635383 1
541 1.60353 -0.819699 1
542 4.80912 -0.0899282 1
543 3.74043 -0.271746 1
544 2.67174 -0.453564 1
545 1.60304 -0.635383 1
546 0.534836 -0.819699 1
547 4.80912 0.0918898 1
548 3.74043 -0.0899282 1
549 2.67174 -0.271746 1
550 1.60304 -0.453564 1
551 0.534347 -0.635383 1
552 -0.533858 -0.819699 1
553 4.80912 0.273708 1
554 3.74043 0.0918898 1
555 2.67174 -0.0899282 1
556 1.60304 -0.271746 1
557 0.534347 -0.453564 1
558 -0.534347 -0.635383 1
559 -1.60255 -0.819699 1
560 4.80912 0.45557 1
561 3.74043 0.273708 1
562 2.67174 0.09189 1
563 1.60304 -0.089928 1
564 0.534347 -0.271746 1
565 -0.534347 -0.453564 1
566 -1.60304 -0.635383 1
567 -2.67125 -0.819699 1
568 4.81571 0.679547 1
569 3.74051 0.456474 1
570 2.67181 0.274656 1
571 1.60312 0.0928378 1
572 0.534422 -0.0889802 1
573 -0.534272 -0.270798 1
574 -1.60297 -0.452616 1
575 -2.67166 -0.634435 1
576 -3.72445 -0.855518 1
577 4.56803 1 -0.809208
578 3.50823 1 -0.808111
579 2.43954 1 -0.808111
580 1.37084 1 -0.808111
581 0.302149 1 -0.808111
582 -0.766545 1 -0.808111
583 -1.83524 1 -0.80811
584 -2.91343 1 -0.806968
585 -5.48114 1 -0.892827
586 -4.72901 1 -0.908213
587 -5.15979 1 -1
588 5.34252 0.910725 1
589 5.34244 0.816072 1
590 -5.87782 0.909091 0.909091
591 -5.87782 0.818182 0.909091
592 -5.87782 0.909091 1
593 5.48114 -1 -0.892827
594 4.72901 -1 -0.908213
595 5.15979 -1 -1
596 5.87782 0.909091 -0.909091
597 5.87782 0.818182 -0.909091
598 5.87782 0.909091 -1
599 -5.3161 0.849774 -1
600 -5.35189 0.756208 -1
601 -5.87782 1 -0.909091
602 -5.58221 1 -0.799227
603 5.34347 1 1
604 4.80898 0.911735 1
605 -5.87782 1 0.909091
606 -5.87782 0.909091 0.818182
607 5.87782 -1 -0.863637
608 5.58221 -1 -0.799227
609 5.87782 1 -0.909091
610 5.87782 0.909091 -0.818182
611 -4.80977 0.91438 -1
612 5.35181 -0.757937 -1
613 5.31357 -0.902838 -1
614 4.2747 -0.633761 -1
615 4.80912 -0.724387 -1
616 4.27478 -0.727292 -1
617 3.20601 -0.451942 -1
618 3.74043 -0.542535 -1
619 3.20608 -0.545454 -1
620 2.13731 -0.270124 -1
621 2.67174 -0.360717 -1
622 2.13739 -0.363636 -1
623 1.06862 -0.0883057 -1
624 1.60304 -0.178899 -1
625 1.06869 -0.181818 -1
626 -7.47325e-05 0.0935123 -1
627 0.534347 0.00291908 -1
628 -1.33159e-11 3.20647e-12 -1
629 -1.06877 0.27533 -1
630 -0.534347 0.184737 -1
631 -1.06869 0.181818 -1
632 -2.13746 0.457148 -1
633 -1.60304 0.366555 -1
634 -2.13739 0.363636 -1
635 -3.20616 0.638968 -1
636 -2.67174 0.548374 -1
637 -3.20608 0.545454 -1
638 -4.27498 0.820267 -1
639 -3.74032 0.732851 -1
640 -4.27478 0.727292 -1
641 5.3455 -0.642074 -1
642 5.87782 -0.772728 -1
643 4.26983 -0.547981 -1
644 4.2747 -0.459368 -1
645 4.81407 -0.542659 -1
646 5.34353 -0.549535 -1
647 5.34347 -0.458592 -1
648 5.87782 -0.545454 -1
649 3.20114 -0.366162 -1
650 3.20601 -0.27755 -1
651 3.74538 -0.360841 -1
652 4.27478 -0.367683 -1
653 4.27478 -0.276774 -1
654 4.80912 -0.362777 -1
655 5.34347 -0.367683 -1
656 5.34347 -0.276774 -1
657 5.87782 -0.363636 -1
658 2.13244 -0.184344 -1
659 2.13731 -0.095732 -1
660 2.67668 -0.179023 -1
661 3.20608 -0.185865 -1
662 3.20608 -0.094956 -1
663 3.74043 -0.180959 -1
664 4.27478 -0.185865 -1
665 4.27478 -0.094956 -1
666 4.80912 -0.180959 -1
667 5.34347 -0.185865 -1
668 5.34347 -0.094956 -1
669 5.87782 -0.181818 -1
670 1.06375 -0.00252618 -1
671 1.06862 0.086086 -1
672 1.60799 0.00279535 -1
673 2.13739 -0.00404698 -1
674 2.13739 0.086862 -1
675 2.67174 0.000858876 -1
676 3.20608 -0.00404698 -1
677 3.20608 0.086862 -1
678 3.74043 0.000858876 -1
679 4.27478 -0.00404697 -1
680 4.27478 0.086862 -1
681 4.80912 0.000858876 -1
682 5.34347 -0.00404698 -1
683 5.34347 0.086862 -1
684 5.87782 0 -1
685 -0.00494602 0.179292 -1
686 -7.4733e-05 0.267904 -1
687 0.539293 0.184613 -1
688 1.06869 0.177771 -1
689 1.06869 0.26868 -1
690 1.60304 0.182677 -1
691 2.13739 0.177771 -1
692 2.13739 0.26868 -1
693 2.67174 0.182677 -1
694 3.20608 0.177771 -1
695 3.20608 0.26868 -1
696 3.74043 0.182677 -1
697 4.27478 0.177771 -1
698 4.27478 0.26868 -1
699 4.80912 0.182677 -1
700 5.34347 0.177771 -1
701 5.34347 0.26868 -1
702 5.87782 0.181818 -1
703 -1.07364 0.36111 -1
704 -1.06877 0.449722 -1
705 -0.529401 0.366431 -1
706 5.84559e-11 0.359589 -1
707 8.58539e-10 0.450498 -1
708 0.534347 0.364495 -1
709 1.06869 0.359589 -1
710 1.06869 0.450498 -1
711 1.60304 0.364495 -1
712 2.13739 0.359589 -1
713 2.13739 0.450498 -1
714 2.67174 0.364495 -1
715 3.20608 0.359589 -1
716 3.20608 0.450498 -1
717 3.74043 0.364495 -1
718 4.27478 0.359589 -1
719 4.27478 0.450498 -1
720 4.80912 0.364495 -1
721 5.34347 0.359589 -1
722 5.34347 0.450498 -1
723 5.87782 0.363636 -1
724 -2.14233 0.542928 -1
725 -2.13746 0.631541 -1
726 -1.5981 0.54825 -1
727 -1.06869 0.541408 -1
728 -1.06869 0.632317 -1
729 -0.534347 0.546313 -1
730 5.8456e-11 0.541408 -1
731 8.58538e-10 0.632317 -1
732 0.534347 0.546313 -1
733 1.06869 0.541408 -1
734 1.06869 0.632317 -1
735 1.60304 0.546313 -1
736 2.13739 0.541408 -1
737 2.13739 0.632317 -1
738 2.67174 0.546313 -1
739 3.20608 0.541408 -1
740 3.20608 0.632317 -1
741 3.74043 0.546313 -1
742 4.27478 0.541408 -1
743 4.27478 0.632317 -1
744 4.80912 0.546313 -1
745 5.34347 0.541428 -1
746 5.34307 0.633204 -1
747 5.87782 0.545454 -1
748 -3.21103 0.724751 -1
749 -3.20621 0.813635 -1
750 -2.66679 0.730074 -1
751 -2.13739 0.72323 -1
752 -2.13744 0.814411 -1
753 -1.60304 0.728137 -1
754 -1.06869 0.72323 -1
755 -1.06875 0.814411 -1
756 -0.534347 0.728137 -1
757 5.84196e-11 0.72323 -1
758 -5.48047e-05 0.814411 -1
759 0.534347 0.728137 -1
760 1.06869 0.72323 -1
761 1.06864 0.814411 -1
762 1.60304 0.728137 -1
763 2.13739 0.72323 -1
764 2.13733 0.814411 -1
765 2.67174 0.728137 -1
766 3.20608 0.72323 -1
767 3.20603 0.814411 -1
768 3.74043 0.728137 -1
769 4.27478 0.72323 -1
770 4.27478 0.814328 -1
771 4.80825 0.730665 -1
772 5.33467 0.735084 -1
773 5.45069 0.812539 -1
774 5.87782 0.727273 -1
775 -4.27961 0.913016 -1
776 -4.20798 1 -1
777 -3.20671 0.912403 -1
778 -3.13929 1 -1
779 -2.67174 0.911594 -1
780 -2.13801 0.912403 -1
781 -2.07059 1 -1
782 -1.60304 0.911594 -1
783 -1.06932 0.912403 -1
784 -1.0019 1 -1
785 -0.534347 0.911594 -1
786 -0.000622865 0.912403 -1
787 0.0667934 1 -1
788 0.534347 0.911594 -1
789 1.06807 0.912403 -1
790 1.13549 1 -1
791 1.60304 0.911594 -1
792 2.13677 0.912403 -1
793 2.20418 1 -1
794 2.67174 0.911594 -1
795 3.20546 0.912403 -1
796 3.27288 1 -1
797 3.74043 0.911594 -1
798 4.27478 0.90763 -1
799 4.27478 1 -1
800 4.8178 0.912591 -1
801 5.4624 0.904953 -1
802 5.87782 -0.818182 0.909091
803 5.87782 -0.909091 1
804 5.87782 -0.909091 0.909091
805 5.87782 -0.636364 0.727273
806 5.87782 -0.727273 0.818182
807 5.87782 -0.727273 0.727273
808 5.87782 -0.454545 0.545454
809 5.87782 -0.545454 0.636364
810 5.87782 -0.545454 0.545454
811 5.87782 -0.272727 0.363636
812 5.87782 -0.363636 0.454545
813 5.87782 -0.363636 0.363636
814 5.87782 -0.090909 0.181818
815 5.87782 -0.181818 0.272727
816 5.87782 -0.181818 0.181818
817 5.87782 0.090909 0
818 5.87782 0 0.090909
819 5.87782 0 0
820 5.87782 0.272727 -0.181818
821 5.87782 0.181818 -0.090909
822 5.87782 0.181818 -0.181818
823 5.87782 0.454545 -0.363636
824 5.87782 0.363636 -0.272727
825 5.87782 0.363636 -0.363636
826 5.87782 0.636364 -0.545454
827 5.87782 0.545454 -0.454545
828 5.87782 0.545454 -0.545454
829 5.87782 0.818182 -0.727273
830 5.87782 0.727273 -0.636364
831 5.87782 0.727273 -0.727273
832 5.87782 -0.727273 0.909091
833 5.87782 -0.636364 0.909091
834 5.87782 -0.727273 1
835 5.87782 -0.545454 0.727273
836 5.87782 -0.454545 0.727273
837 5.87782 -0.545454 0.818182
838 5.87782 -0.545454 0.909091
839 5.87782 -0.454545 0.909091
840 5.87782 -0.545454 1
841 5.87782 -0.363636 0.545454
842 5.87782 -0.272727 0.545454
843 5.87782 -0.363636 0.636364
844 5.87782 -0.363636 0.727273
845 5.87782 -0.272727 0.727273
846 5.87782 -0.363636 0.818182
847 5.87782 -0.363636 0.909091
848 5.87782 -0.272727 0.909091
849 5.87782 -0.363636 1
850 5.87782 -0.181818 0.363636
851 5.87782 -0.090909 0.363636
852 5.87782 -0.181818 0.454545
853 5.87782 -0.181818 0.545454
854 5.87782 -0.090909 0.545454
855 5.87782 -0.181818 0.636364
856 5.87782 -0.181818 0.727273
857 5.87782 -0.090909 0.727273
858 5.87782 -0.181818 0.818182
859 5.87782 -0.181818 0.909091
860 5.87782 -0.090909 0.909091
